comb7_str_key,comb5_name,comb5_nn,comb5_str_key
"7,8,9,10,11,13,14_7,8,10,11,14",FLUSH,6848,"7,8,10,11,14_fl"
"3,6,8,9,10,12,13_3,6,8,10,12,13",FLUSH,6603,"6,8,10,12,13_fl"
"7,9,11,12,12,12,13_7,9,11,12,13",FLUSH,6638,"7,9,11,12,13_fl"
"2,6,9,9,10,11,12_2,9,10,11,12",FLUSH,6312,"2,9,10,11,12_fl"
"2,2,2,6,7,11,12_2,6,7,11,12",FLUSH,6251,"2,6,7,11,12_fl"
"2,5,8,9,10,10,14_2,5,8,9,14",FLUSH,6704,"2,5,8,9,14_fl"
"2,4,8,8,12,12,14_2,4,8,12,14",FLUSH,6877,"2,4,8,12,14_fl"
"2,3,4,6,9,11,14_2,4,6,9,14",FLUSH,6686,"2,4,6,9,14_fl"
"3,4,7,9,12,14,14_3,4,9,12,14",FLUSH,6893,"3,4,9,12,14_fl"
"2,7,9,10,11,13,14_9,10,11,13,14",FLUSH,7095,"9,10,11,13,14_fl"
"4,4,5,6,10,10,13_4,5,6,10,13",FLUSH,6397,"4,5,6,10,13_fl"
"3,5,6,8,10,10,12_3,5,6,10,12",FLUSH,6187,"3,5,6,10,12_fl"
"2,3,6,13,13,13,14_2,3,6,13,14",FLUSH,6980,"2,3,6,13,14_fl"
"2,2,4,5,8,11,12_4,5,8,11,12",FLUSH,6260,"4,5,8,11,12_fl"
"2,3,4,5,6,9,10_2,3,4,5,9",FLUSH,5881,"2,3,4,5,9_fl"
"3,7,8,8,8,12,14_unfl",THREE_OF_KIND,5455,"8,8,8,12,14_unfl"
"2,4,6,7,7,8,14_2,4,6,7,8",FLUSH,5877,"2,4,6,7,8_fl"
"2,7,8,8,10,11,13_unfl",ONE_PAIR,2752,"8,8,10,11,13_unfl"
"3,5,7,8,9,12,14_3,5,8,9,12",FLUSH,6168,"3,5,8,9,12_fl"
"3,6,6,9,11,12,13_unfl",ONE_PAIR,2321,"6,6,11,12,13_unfl"
"4,4,5,7,11,12,12_4,5,7,11,12",FLUSH,6250,"4,5,7,11,12_fl"
"4,4,6,8,10,11,12_4,8,10,11,12",FLUSH,6308,"4,8,10,11,12_fl"
"2,2,3,4,4,8,12_2,3,4,8,12",FLUSH,6124,"2,3,4,8,12_fl"
"3,3,4,7,9,13,14_3,4,7,9,13,14",FLUSH,7023,"4,7,9,13,14_fl"
"2,2,3,5,5,11,13_2,3,5,11,13",FLUSH,6445,"2,3,5,11,13_fl"
"3,4,4,7,10,12,12_unfl",TWO_PAIRS,4661,"4,4,10,12,12_unfl"
"5,7,8,9,11,12,12_5,7,8,9,11",FLUSH,6052,"5,7,8,9,11_fl"
"2,4,7,7,12,13,14_unfl",ONE_PAIR,2596,"7,7,12,13,14_unfl"
"3,4,5,8,10,12,14_3,4,5,8,10,12,14",FLUSH,6930,"5,8,10,12,14_fl"
